name,id,numeric_id,variant_group,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,pax_special,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,gameplay_text,brake_text,additional_text,has_aged_variant
Collett Tender,collett_tender,-1,,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Billy Tender,billy_tender,-1,,-1,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Stockton Tender,stockton_tender,-1,,-1,,tender,tender,RAIL,1825,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Rocket Tender,rocket_tender,-1,,-1,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Stephenson Tender,stephenson_tender,-1,,-1,,tender,tender,RAIL,1815,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Crampton Tender,crampton_tender,-1,,-1,,tender,tender,RAIL,1830,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Bury Tender,bury_tender,-1,,-1,,tender,tender,RAIL,1830,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
NER Tender,ner_tender,-1,,-1,,tender,tender,RAIL,1850,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
NER Tender (Low),ner_tender_low,-1,,-1,,tender,tender,RAIL,1850,,,,,,,,,,,,,42,,,,,,,,,7.5,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Holmes Tender,holmes_tender,-1,,-1,,tender,tender,RAIL,1875,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,vct,,vct_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Midland Tender,midland_tender,-1,,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
GWR Tender,gwr_tender,-1,,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Lickey Tender,lickey_tender,-1,,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Gresley Tender,gresley_tender,-1,,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Tender,lms_tender,-1,,-1,,tender,tender,RAIL,1920,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,edw,,edw_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
SR Tender,sr_tender,-1,,-1,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Stanier Tender,stanier_tender,-1,,-1,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LMS Stanier Tender (Black),stanier_tender_black,-1,,-1,,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.97,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Gresley 4 axle Tender,four_axle_tender,-1,,-1,,tender,tender,RAIL,1927,,,,,,,,,,,,,53,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.96,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Coronation Tender,coronation_tender,-1,,-1,,tender,tender,RAIL,1935,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.95,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Merchant Navy Tender,merchant_navy_tender,-1,,-1,,tender,tender,RAIL,1941,,,,,,,,,,,,,52,,,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.95,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Q1 Tender,q1_tender,-1,,-1,,tender,tender,RAIL,1942,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Austerity Tender,austerity_tender,-1,,-1,,tender,tender,RAIL,1943,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Ivatt Tender,ivatt_tender,-1,,-1,,tender,tender,RAIL,1946,,,,,,,,,,,,,52,,,,,,,,,6,6,,,0,60x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,0.94,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,big4,,big4_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
GT3 Tender,ee_gt3_tender,-1,,-1,,tender,tender,RAIL,1958,,,,,,,,,,,,,52,,,,,,,,,6,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,0.92,0,0,0,0,0,$0,$0,,,,,,,,,,,,,,dsl,,dsl_,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
