name,id,numeric_id,sort_order,sort_feature,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,kmhish_speed,secondary_speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,effect_unit,manual_lengths,manual_ttd_len,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,dvt,use_mu_engine_logic,tilting,multiple_working,requires_second_power_car,purchase_length,enable_param,intro_month,cargo_age_period,cargo_handling,default_cargo,era_id,category,era_cat,power_class,length_text,power_text,units_text,bio,brake_text,additional_text,has_aged_variant
Trevithick Tender,trevithick_tender,-1,-1,,tender,tender,RAIL,1804,,,,,,,,,,,,,2,,,,,,,,,7.5,5,,,0,51x0x0,3,,"1,1,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,early,Mixed Traffic,early_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.2 tiles{},,,,,{BLACK}Length: {GOLD}0.2 tiles{}{SILVER},
GNR Tender,gnr_tender,-1,-1,,tender,tender,RAIL,1870,,,,,,,,,,,,,20,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LNWR Early Tender,lnwr_early_tender,-1,-1,,tender,tender,RAIL,1874,,,,,,,,,,,,,20,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
Princess Tender,princess_tender,-1,-1,,tender,tender,RAIL,1863,,,,,,,,,,,,,4,,,,,,,,,7.5,5,,,0,51x0x0,3,,"1,1,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.2 tiles{},,,,,{BLACK}Length: {GOLD}0.2 tiles{}{SILVER},
Star Tender,star_tender,-1,-1,,tender,tender,RAIL,1840,,,,,,,,,,,,,5,,,,,,,,,7.5,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Iron Duke Tender,iron_duke_tender,-1,-1,,tender,tender,RAIL,1848,,,,,,,,,,,,,20,,,,,,,,,7.5,6,,,0,66x0x0,4,,"1,2,1",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,early,,early_,tender_RAIL,{BLACK}Length: {GOLD}0.3 tiles{},,,,,{BLACK}Length: {GOLD}0.3 tiles{}{SILVER},
Midland Tender (Old),midland_tender_old,-1,-1,,tender,tender,RAIL,1870,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LNWR Tender,lnwr_tender,-1,-1,,tender,tender,RAIL,1870,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
LNER Tender,lner_tender,-1,-1,,tender,tender,RAIL,1870,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,vct,Mixed Traffic,vct_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
GWR Tender,gwr_tender,-1,-1,,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,edw,Mixed Traffic,edw_Mixed Traffic,tender_RAIL,{BLACK}Length: {GOLD}0.4 tiles{},,,,,{BLACK}Length: {GOLD}0.4 tiles{}{SILVER},
