name,id,numeric_id,template,type,railtype,year,end_year,service,cars,power,secondary_power,cyl_d,cyl_len,cyl_n,steam_psi,rpm,wheel_d,ihp,weight,tender_weight,loading_speed,tractive_effort,te_coeff,speed,speed_conf,length,scale_len,width,height,capacity,voxel_size,ttd_len,tender,articulated_lengths,manual_lengths,layout,pantograph_unit,new_sprites,reuse_sprites,animated,replace_last_wagon,vehicle_life,lifespan,run_cost_penalty,purchase_penalty,speed_cost_factor,power_cost_factor,te_cost_factor,year_multiplier,capacity_factor,type_run_cost,type_purchase_cost,cost,running_cost,cost_gbp,run_cost_gbp,double_headed,tare_speed,tare_speed_for_future,dvt,tilting,multiple_working,requires_second_power_car,enable_param,intro_month,cargo_age_period,cargo_handling,default_cargo,era_id,category,era_cat,tare_text,power_class,power_text,units_text,bio,brake_text,additional_text
Midland Tender,midland_tender,-1,tender,tender,RAIL,1900,,,,,,,,,,,,,42,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,edw,,edw_,,tender_RAIL,,,,,{SILVER}
SR Tender,sr_tender,-1,tender,tender,RAIL,1925,,,,,,,,,,,,,52,,,,,,,7.64,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,big4,,big4_,,tender_RAIL,,,,,{SILVER}
Gresley 4 axle Tender,four_axle_tender,-1,tender,tender,RAIL,1927,,,,,,,,,,,,,53,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,big4,,big4_,,tender_RAIL,,,,,{SILVER}
Coronation Tender,coronation_tender,-1,tender,tender,RAIL,1935,,,,,,,,,,,,,42,,,,,,,7.5,8,,,0,82x0x0,5,,"2,1,2",,,,,,,,30,,,,0,0,0,1.00,0,0,0,0,0,$0,$0,,,,,,,,,,,,,big4,,big4_,,tender_RAIL,,,,,{SILVER}
Streamlined Passenger Carriage,passenger_coach_streamlined,15,wagon,luxury_carriage,RAIL,1931,,1965,,,,,,,,,,,36,,7,,,130,,17.7,17.7,2.83,3.79,45,164x42x56,10,,"4,2,4",,,,,,,passenger_coach_streamlined_obs_car,30,30,102,93,26,0,0,1.00,7.5,1.5,0.7,124,174,"$7,750",$475,,,130,,,,,,1,222,Passengers,PASS,big4,Carriage,big4_Carriage,,luxury_carriage_RAIL,,,"As express services increased in speed, carriages were streamlined with valances between bogies and flexible walls connecting each carriage.",{YELLOW}20% Bonus for long distance travel{},"{YELLOW}20% Bonus for long distance travel{}{SILVER}As express services increased in speed, carriages were streamlined with valances between bogies and flexible walls connecting each carriage."
BR Mk1 carriage,passenger_coach_mk1,16,wagon,carriage,RAIL,1951,1963,1974,,,,,,,,,,,32.5,,8,,,100,,19.3,20,,,54,198x0x0,12,,"4,4,4",,,,,,,,30,19,76,69,20,0,0,1.00,9,1.2,0.6,92,128,"$5,750",$349,,,100,,,,,,1,185,Passengers,PASS,ebr,Carriage,ebr_Carriage,,carriage_RAIL,,,The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network.,,{SILVER}The Mk1 carriage combined best practice from the different Big Four carriage designs into a single standard design that could be used across the BR network.
BR Mk2 carriage,passenger_coach_mk2,17,wagon,carriage,RAIL,1956,,2010,,,,,,,,,,,40,,8,,,110,,19.66,19.66,2.83,3.79,57,198x42x56,12,,"4,4,4",,,,,,,,30,50,79,75,22,0,0,1.00,9.5,1.2,0.6,100,134,"$6,250",$366,,,110,,,,,,1,185,Passengers,PASS,dsl,Carriage,dsl_Carriage,,carriage_RAIL,,,"The Mk2 carriage is the second BR carriage design. It was built to be stronger than the Mk1, giving better corrosion resistance and being safer for passengers in an accident.",,"{SILVER}The Mk2 carriage is the second BR carriage design. It was built to be stronger than the Mk1, giving better corrosion resistance and being safer for passengers in an accident."
BR Mk3 carriage,passenger_coach_mk3,18,wagon,carriage,RAIL,1975,,,,,,,,,,,,,34,,8,,,125,,23,23,2.82,3.79,72,214x42x56,13,,"4,5,4",,,,,,,,30,,86,87,25,0,0,1.00,12,1.2,0.6,116,148,"$7,250",$404,,,125,,,,,,2,205,Passengers,PASS,lbr,Carriage,lbr_Carriage,,carriage_RAIL,,,"The Mk3 carriage is designed for higher speed operation, capable of running at up to 125mph. The first Mk3 carriages were built for the prototype HST. ",{YELLOW}10% Bonus for long distance travel{},"{YELLOW}10% Bonus for long distance travel{}{SILVER}The Mk3 carriage is designed for higher speed operation, capable of running at up to 125mph. The first Mk3 carriages were built for the prototype HST. "
BR Mk4 carriage,passenger_coach_mk4,19,wagon,carriage,RAIL,1988,,,,,,,,,,,,,40,,8,,,140,,23,23,2.82,3.79,72,214x42x56,13,,"4,5,4",,,,,,,,30,,90,93,28,0,0,1.00,12,1.2,0.6,124,156,"$7,750",$426,,,140,,,,,,7,222,Passengers,PASS,lbr,Carriage,lbr_Carriage,,carriage_RAIL,,,The Mk4 carriage is a further improvement on the Mk3. It's designed for use with the Class 91 for Intercity 225 services.,{YELLOW}20% Bonus for long distance travel{},{YELLOW}20% Bonus for long distance travel{}{SILVER}The Mk4 carriage is a further improvement on the Mk3. It's designed for use with the Class 91 for Intercity 225 services.
Livestock van,livestock_van,100,wagon,wagon,RAIL,1850,,1925,,,,,,,,,,,8,,4,,,40,,6,6,,,18,60x0x0,4,,"1,2,1",,,,,,,,30,71,,,8,0,0,1.00,3,1,0.45,7,26,$438,$71,,,50,,,,,,1,185,Livestock,LVST,vct,Van,vct_Van,,wagon_RAIL,,,"Livestock traffic was common early on in railway history, with specialised cattle wagons and stations equipped to handle loading and unloading.",,"{SILVER}Livestock traffic was common early on in railway history, with specialised cattle wagons and stations equipped to handle loading and unloading."
